OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,V1_SCANSION,V2_SCANSION,GREEN_SYLLABLES,V1_SYLLABLES,V2_SYLLABLES,V1_MATCHES_GREEN,V2_MATCHES_GREEN
She gan to prenten in hir herte faste;,She gan to prenten in hir herte faste,u S u Su S u Su Sx,u S u Su S u Su Sx,u S u Su S u Su Sx,10,10,10,1,1
And ay gan love hir lasse for to agaste,And ay gan love hir lasse for to agaste,u S u Sx u Sx u S uSx,u S u Sx u Sx u S uSx,u S u Sx u Sx u S uSx,10,10,10,1,1
"Than it dide erst, and sinken in hir herte",Than it dide erst and sinken in hir herte,u S ux S u Su S u Sx,u S ux S u Su S u Sx,u S ux S u Su S u Sx,10,10,10,1,1
That she wex somwhat able to converte.,That she wex somwhat able to converte,u S u Su Su S uSx,u S u Su Su S uSx,u S u Su Su S uSx,10,10,10,1,1
"The dayes honour, and the hevenes eye",The dayes honour and the hevenes eye,u Su Su S u Sux S,u Su Su S u Sux S,u Su Su S u SuS u,10,10,11,1,0
"The nightes fo, al this clepe I the sonne",The nightes fo al this clepe I the sonne,u Su S u S ux S u Sx,u Su S u S ux S u Sx,u Su S u S ux S u Sx,10,10,10,1,1
"Gan westren faste, and dounward for to wrie",Gan westren faste and dounward for to wrie,u Su Sx u Su S u S,u Su Sx u Su S u S,u Su Sx u Su S u S,10,10,10,1,1
As he that hadde his dayes cours yronne;,As he that hadde his dayes cours yronne,u S u Sx u Su S uSx,u S u Sx u Su S uSx,u S u Sx u Su S uSx,10,10,10,1,1
And white thinges wexen dimme and donne,And white thinges wexen dimme and donne,u Su Su Su Sx u Sx,u Su Su Su Sx u Sx,u Su Su Su Sx u Sx,10,10,10,1,1
"For lak of light, and sterres for to appere",For lak of light and sterres for to appere,u S u S u Su S x uSx,u S u S u Su S u Sxx,u S u S u Su S u Sux,10,10,11,0,0
That she and al hir folk in wente yfere.,That she and al hir folk in wente yfere,u S u S u S u Sx uSx,u S u S u S u Sx uSx,u S u S u S u Sx uSx,10,10,10,1,1
So whan it liked hir to goon to reste,So whan it liked hir to goon to reste,u S u Su S u S u Sx,u S u Su S u S u Sx,u S u Su S u S u Sx,10,10,10,1,1
And voided weren they that voiden oughte,And voided weren they that voiden oughte,u Su Su S u Su Sx,u Su Su S u Su Sx,u Su Su S u Su Sx,10,10,10,1,1
"She seide, that to slepe wel hir leste.",She seide that to slepe wel hir leste,u Su S u Su S u Sx,u Su S u Su S u Sx,u Su S u Su S u Sx,10,10,10,1,1
"O blisful light, of which the bemes clere",O blisful light of which the bemes clere,u Su S u S u Su Sx,u Su S u S u Su Sx,u Su S u S u Su Sx,10,10,10,1,1
Adorneth al the thridde hevene faire!,Adorneth al the thridde hevene faire,uSu S u Sx uSu Sx,uSu S u Sx uSu Sx,uSu S u Sx uSu Sx,10,10,10,1,1
"O sonnes leef, O Joves doughter dere",O sonnes leef O Joves doughter dere,u Su S u Su Su Sx,u Su S u Su Su Sx,u Su S u Su Su Sx,10,10,10,1,1
"Plesaunce of love, O goodly debonaire",Plesaunce of love O goodly debonaire,uSx u Sx u Su SuSx,uSx u Sx u Su SuSx,uSx u Sx u Su SuSx,10,10,10,1,1
In gentil hertes ay redy to repaire!,In gentil hertes ay redy to repaire,u Su Sx u Su S uSx,u Su Su S xu S uSx,u Su Su S uS u Sux,10,10,11,0,0
O verray cause of hele and of gladnesse,O verray cause of hele and of gladnesse,u Su Sx u Sx u S uSx,u Su Sx u Sx u S uSx,u Su Sx u Sx u S uSx,10,10,10,1,1
Yheried be thy might and thy goodnesse!,Yheried be thy might and thy goodnesse,uSu S u S u S uSx,uxSu S u S u S uSx,uSuS u S u S u Sux,10,10,11,1,0
"In hevene and helle, in erthe and salte see",In hevene and helle in erthe and salte see,u Sxx u Sx u Sx u Su S,u Sux S ux S ux S ux S,u Sux S ux S ux S ux S,10,10,10,0,0
"Is felt thy might, if that I wel descerne;",Is felt thy might if that I wel descerne,u S u S u S u S uSx,u S u S u S u S uSx,u S u S u S u S uSx,10,10,10,1,1
"As man, brid, best, fishe, herbe and grene tree",As man brid best fishe herbe and grene tree,u S u S ux Sx u Su S,u S u S ux Sx u Su S,u S u S ux Sx u Su S,10,10,10,1,1
Thee fele in times with vapour eterne.,Thee fele in times with vapour eterne,u Sx u Su S uS uSx,u Sx u Su S uS uSx,u Sx u Su S uS uSx,10,10,10,1,1
"God loveth, and to love wol nought werne;",God loveth and to love wol nought werne,u Su S u Su S u Sx,u Su S u Su S u Sx,u Su S u Su S u Sx,10,10,10,1,1
And in this world no lives creature,And in this world no lives creature,u S u S u Su SuSx,u S u S u Su SuSx,u S u S u Su SuSx,10,10,10,1,1
"Withouten love, is worth, or may endure.",Withouten love is worth or may endure,uSu Sx u S u S uSx,uSu Sx u S u S uSx,uSu Sx u S u S uSx,10,10,10,1,1
Ye Joves first to thilke effectes glade,Ye Joves first to thilke effectes glade,u Su S u Sx uSu Sx,u Su S u Sx uSu Sx,u Su S u Sx uSu Sx,10,10,10,1,1
Thorugh which that thinges liven alle and be,Thorugh which that thinges liven alle and be,ux S u Su Su Sx u S,uS u S uS ux Sx u S,uS u S uS uS ux S u,10,10,11,0,0
"Comeveden, and amorous him made",Comeveden and amorous him made,uSuS u SuS u Sx,uSuS u SuS u Sx,uSuS u SuS u Sx,10,10,10,1,1
"On mortal thing, and as yow list, ay ye",On mortal thing and as yow list ay ye,u Su S u S u S u S,u Su S u S u S u S,u Su S u S u S u S,10,10,10,1,1
Yeve him in love ese or adversitee;,Yeve him in love ese or adversitee,ux S u Sx ux S uSuS,ux S u Sx ux S uSuS,ux S u Sx ux S uSuS,10,10,10,1,1
And in a thousand formes doun him sente,And in a thousand formes doun him sente,u S u Su Su S u Sx,u S u Su Su S u Sx,u S u Su Su S u Sx,10,10,10,1,1
"For love in erthe, and whom yow liste, he hente.",For love in erthe and whom yow liste he hente,u Sx u Sx u S u Sx u Sx,u Sx u Sx u S u Sx u Sx,u Sx u Sx u S u Sx u Sx,10,10,10,1,1
Ye fierse Mars apeisen of his ire,Ye fierse Mars apeisen of his ire,u Sxu S uSu S u Sx,u Sux S uSu S u Sx,u Sux S uSu S u Sx,10,10,10,1,1
"And, as yow list, ye maken hertes digne.",And as yow list ye maken hertes digne,u S u S u Su Su Sx,u S u S u Su Su Sx,u S u S u Su Su Sx,10,10,10,1,1
"Algates, hem that ye wol sette afire",Algates hem that ye wol sette afire,uSu S u S u Sx uSx,uSu S u S u Sx uSx,uSu S u S u Sx uSx,10,10,10,1,1
"They dreden shame, and vices they resigne;",They dreden shame and vices they resigne,u Su Sx u Su S uSx,u Su Sx u Su S uSx,u Su Sx u Su S uSx,10,10,10,1,1
"Ye do hem corteis be, fresshe and benigne",Ye do hem corteis be fresshe and benigne,u S u Su S ux S uSx,u S u Su S ux S uSx,u S u Su S ux S uSx,10,10,10,1,1
"And hie or lowe, after a wight entendeth;",And hie or lowe after a wight entendeth,u S u Sx uS u S uSu,u S u Sx uS u S uSx,u S u Sx uS u S uSu,11,10,11,0,1
"The joyes that he hath, your might him sendeth.",The joyes that he hath your might him sendeth,u Su S u S u S u Su,u Su S u S u S u Sx,u Su S u S u S u Su,11,10,11,0,1
Ye holden regne and hous in unitee;,Ye holden regne and hous in unitee,u Su Sx u S u SuS,u Su Sx u S u SuS,u Su Sx u S u SuS,10,10,10,1,1
Ye soothfast cause of frendship been also;,Ye soothfast cause of frendship been also,u Su Sx u Su S uS,u Su Sx u Su S uS,u Su Sx u Su S uS,10,10,10,1,1
Ye knowe al thilke covered qualitee,Ye knowe al thilke covered qualitee,u Sx u Su Sux SuS,u Sx u Sx uSu SuS,u Sx u Sx uSu SuS,10,10,10,0,0
Of thinges which that folk on wondren so,Of thinges which that folk on wondren so,u Su S u S u Su S,u Su S u S u Su S,u Su S u S u Su S,10,10,10,1,1
Whan they can not construe how it may jo,Whan they can not construe how it may jo,u S u S uS u S u S,u S u S uS u S u S,u S u S uS u S u S,10,10,10,1,1
"She loveth him, or why he loveth here",She loveth him or why he loveth here,u Su S u S u Su Sx,u Su S u S u Su Sx,u Su S u S u Su Sx,10,10,10,1,1
"As why this fish, and nought that, comth to were.",As why this fish and nought that comth to were,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
Ye folk a lawe han set in universe,Ye folk a lawe han set in universe,u S u Sx u S u SuSx,u S u Sx u S u SuSx,u S u Sx u S u SuSx,10,10,10,1,1
And this knowe I by hem that loveres be,And this knowe I by hem that loveres be,u S ux S u S u Sux S,u S ux S u S u Sux S,u S ux S u S u SuS u,10,10,11,1,0
That whoso striveth with yow hath the werse:,That whoso striveth with yow hath the werse,u Su Su S u S u Sx,u Su Su S u S u Sx,u Su Su S u S u Sx,10,10,10,1,1
"Now, lady bright, for thy benignitee",Now lady bright for thy benignitee,u Su S u S uSuS,u Su S u S uSuS,u Su S u S uSuS,10,10,10,1,1
At reverence of hem that serven thee,At reverence of hem that serven thee,u SuSx u S u Su S,u SuSx u S u Su S,u SuSx u S u Su S,10,10,10,1,1
"Whos clerk I am, so techeth me devise",Whos clerk I am so techeth me devise,u S u S u Su S uSx,u S u S u Su S uSx,u S u S u Su S uSx,10,10,10,1,1
Som joye of that is felt in thy servise.,Som joye of that is felt in thy servise,u S u S u S u S uSx,u S u S u S u S uSx,u Su S u S u S u Sux,10,10,11,1,0
Ye in my naked herte sentement,Ye in my naked herte sentement,u S u Su Su SuS,u S u Su Su SuS,u S u Su Su SuS,10,10,10,1,1
"Inhelde, and do me shewe of thy swetnesse.—",Inhelde and do me shewe of thy swetnesse,uSx u S u Sx u S uSx,uSx u S u Sx u S uSx,uSx u S u Sx u S uSx,10,10,10,1,1
"Caliope, thy vois be now present",Caliope thy vois be now present,uSuS u S u S uS,SuSx u S u S uS,SuSx u S u S uS,10,9,9,0,0
For now is nede; sestow not my destresse,For now is nede sestow not my destresse,u S u Sx uS u S uSx,u S u Sx uS u S uSx,u S u Sx uS u S uSx,10,10,10,1,1
How I mot telle anonright the gladnesse,How I mot telle anonright the gladnesse,u S u Sx uSu S uSx,u S u Sx uSu S uSx,u S u Sx uSu S uSx,10,10,10,1,1
"Of Troilus, to Venus heryinge?",Of Troilus to Venus heryinge,u SuS u Su SuSx,u SuS u Su SuSx,u SuS u Su SuSx,10,10,10,1,1
"To which gladnes, who nede hath, God him bringe!",To which gladnes who nede hath God him bringe,u S uS u Sx u S u Sx,u S uS u Sx u S u Sx,u S uS u Sx u S u Sx,10,10,10,1,1
Lay al this mene while Troilus,Lay al this mene while Troilus,u S u Su Su SuS,u S u Su Su SuS,u S u Su Su SuS,10,10,10,1,1
Recordinge his lessoun in this manere,Recordinge his lessoun in this manere,uSux S uS u S uSx,uSux S uS u S uSx,uSux S uS u S uSx,10,10,10,1,1
"“Ma fey!” thought he, “Thus wole I seye and thus;",Ma fey thought he Thus wole I seye and thus,u S u S u Sx u S u S,u S u S u Sx u S u S,u S u S u Sx u S u S,10,10,10,1,1
Thus wole I pleine unto my lady dere;,Thus wole I pleine unto my lady dere,u Sx u Sx uS u Su Sx,u Sx u Sx uS u Su Sx,u Sx u Sx uS u Su Sx,10,10,10,1,1
"That word is good, and this shal be my chere;",That word is good and this shal be my chere,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
This nil I not foryeten in no wise.”,This nil I not foryeten in no wise,u S u S uSu S u Sx,u S u S uSu S u Sx,u S u S uSuS u S ux,10,10,11,1,0
God leve him werken as he gan devise.,God leve him werken as he gan devise,u Sx u Su S u S uSx,u Sx u Su S u S uSx,u Sx u Su S u S uSx,10,10,10,1,1
"And Lord, so that his herte gan to quappe",And Lord so that his herte gan to quappe,u S u S u Su S u Sx,u S u S u Su S u Sx,u S u S u Su S u Sx,10,10,10,1,1
"Heringe hir come, and shorte for to sike!",Heringe hir come and shorte for to sike,uSx u Sx u Su S u Sx,uSx u Sx u Su S u Sx,uSx u Sx u Su S u Sx,10,10,10,1,1
"And Pandarus, that ladde hir by the lappe",And Pandarus that ladde hir by the lappe,u SuS u Sx u S u Sx,u SuS u Sx u S u Sx,u SuS u Sx u S u Sx,10,10,10,1,1
"Com ner, and gan in at the curtin pike",Com ner and gan in at the curtin pike,u S u S u S u Su Sx,u S u S u S u Su Sx,u S u S u S u Su Sx,10,10,10,1,1
"And seide, “God do bote on alle sike!",And seide God do bote on alle sike,u Su S u Sx u Su Sx,u Su S u Sx u Su Sx,u Su S u Sx u Su Sx,10,10,10,1,1
"See, who is here yow comen to visite;",See who is here yow comen to visite,u S u Sx u Su S uSx,u S u Sx u Su S uSx,u S u Sx u Su S uSx,10,10,10,1,1
"Lo, here is she that is your deeth to wite.”",Lo here is she that is your deeth to wite,u Sx u S u S u S u Sx,u Sx u S u S u S u Sx,u Sx u S u S u S u Sx,10,10,10,1,1
Therwith it semed as he wepte almost;,Therwith it semed as he wepte almost,uS u Su S u Sx uS,uS u Su S u Sx uS,uS u Su S u Sx uS,10,10,10,1,1
"“A ha,” quod Troilus so rewfully",A ha quod Troilus so rewfully,u S u SuS u SuS,u S u SuS u SuS,u S u SuS u SuS,10,10,10,1,1
"“Wher me be wo, O mighty God, thou wost!",Wher me be wo O mighty God thou wost,u S u S u Su S u S,u S u S u Su S u S,u S u S u Su S u S,10,10,10,1,1
Who is al there? I see nought trewely.”,Who is al there I see nought trewely,u S u Sx u S u SuS,u S u Sx u S u SuS,u S u Sx u S u SuS,10,10,10,1,1
"“Sir,” quod Criseyde, “it is Pandare and I.”",Sir quod Criseyde it is Pandare and I,u S uSx u S uSx u S,u S uSx u S uSx u S,u S uSx u S uSx u S,10,10,10,1,1
"“Ye, swete herte? allas, I may nought rise",Ye swete herte allas I may nought rise,u Su Sx uS u S u Sx,u Su Sx uS u S u Sx,u Su Sx uS u S u Sx,10,10,10,1,1
"To knele, and do yow honour in som wise.”",To knele and do yow honour in som wise,u Sx u S u Su S u Sx,u Sx u S u Su S u Sx,u Sx u S u Su S u Sx,10,10,10,1,1
"And dressede him upward, and she right tho",And dressede him upward and she right tho,u Sux S uS u S u S,u Sux S uS u S u S,u Sux S uS u S u S,10,10,10,1,1
Gan bothe here hondes softe upon him leye,Gan bothe here hondes softe upon him leye,u Sx ux Su Sx uS u S,u Sx ux Su Sx uS u S,u Sx ux Su Sx uS u S,10,10,10,1,1
"“O, for the love of God, do ye not so",O for the love of God do ye not so,u S u Sx u S u S u S,u S u Sx u S u S u S,u S u Sx u S u S u S,10,10,10,1,1
"To me,” quod she, “ey! What is this to seye?",To me quod she ey What is this to seye,u S u S u S u S u S,u S u S u S u S u S,u S u S u S u S u S,10,10,10,1,1
"Sir, come am I to yow for causes tweie;",Sir come am I to yow for causes tweie,u Sx u S u S u Su S,u Sx u S u S u Su S,u Sx u S u S u Su S,10,10,10,1,1
"First, yow to thonke, and of your lordshipe eke",First yow to thonke and of your lordshipe eke,u S u Sx u S u Sux Sx,u S u Sx u S u Sux Sx,u S u Sx u S u Sux Sx,10,10,10,1,1
Continuaunce I wolde yow biseke.”,Continuaunce I wolde yow biseke,uSuS u Su S uSx,SuSx u Su S uSx,SuSx u Su S uSx,10,9,9,0,0
"This Troilus, that herde his lady preye",This Troilus that herde his lady preye,u SuS u Sx u Su S,u SuS u Sx u Su S,u SuS u Sx u Su S,10,10,10,1,1
"Of lordship him, wex neither quik ne deed",Of lordship him wex neither quik ne deed,u Su S u Su S u S,u Su S u Su S u S,u Su S u Su S u S,10,10,10,1,1
Ne mighte o word for shame to it seye,Ne mighte o word for shame to it seye,u Sx u S u Su S u S,u Sx u S u Su S u S,u Sx u S u Su S u S,10,10,10,1,1
Although men sholde smiten of his heed.,Although men sholde smiten of his heed,uS u Su Su S u S,uS u Su Su S u S,uS u Su Su S u S,10,10,10,1,1
"But Lord, so he wex sodeinliche reed",But Lord so he wex sodeinliche reed,u S u S u SuSu S,u S u S u SuSu S,u S u S u SuSu S,10,10,10,1,1
"And sire, his lesson, that he wende conne",And sire his lesson that he wende conne,u Sx u Su S u Su Sx,u Sx u Su S u Su Sx,u Sx u Su S u Su Sx,10,10,10,1,1
"To preyen hir, is thurgh his wit yronne.",To preyen hir is thurgh his wit yronne,u Su S u S u S uSx,u Su S u S u S uSx,u Su S u S u S uSx,10,10,10,1,1
Criseyde al this aspyede wel ynough,Criseyde al this aspyede wel ynough,uSx u S uSux S uS,uSx u S uSux S uS,uSx u S uSux S uS,10,10,10,1,1
"For she was wis, and lovede him never the lasse",For she was wis and lovede him never the lasse,u S u S u Sxx u Sx u Sx,u x S u S uSx u S u Sx,u x S u S uSx u Su S ux,10,10,11,0,0
"Al nere he malapert, or made it tough",Al nere he malapert or made it tough,u Sx u SuS u Sx u S,u Sx u SuS u Sx u S,u Sx u SuS u Sx u S,10,10,10,1,1
"Or was to bold, to singe a fool a masse.",Or was to bold to singe a fool a masse,u S u S u Sx u S u Sx,u S u S u Sx u S u Sx,u S u S u Sx u S u Sx,10,10,10,1,1
But whan his shame gan somwhat to passe,But whan his shame gan somwhat to passe,u S u Su S uS u Sx,u S u Su S uS u Sx,u S u Su S uS u Sx,10,10,10,1,1
"His resons, as I may my rimes holde",His resons as I may my rimes holde,u Su S u S u Su Sx,u Su S u S u Su Sx,u Su S u S u Su Sx,10,10,10,1,1
"I yow wol telle, as techen bokes olde.",I yow wol telle as techen bokes olde,u S u Sx u Su Su Sx,u S u Sx u Su Su Sx,u S u Sx u Su Su Sx,10,10,10,1,1
"In chaunged vois, right for his verrey drede",In chaunged vois right for his verrey drede,u Su S u S u Su Sx,u Su S u S u Su Sx,u Su S u S u Su Sx,10,10,10,1,1
"Which vois eek quook, and therto his manere",Which vois eek quook and therto his manere,u S u S u Su S uSx,u S u S u Su S uSx,u S u S u Su S uSx,10,10,10,1,1
"Goodly abaist, and now his hewes rede",Goodly abaist and now his hewes rede,uS uS u S u Su Sx,uS uS u S u Su Sx,uS uS u S u Su Sx,10,10,10,1,1
"Now pale, unto Criseyde, his lady dere",Now pale unto Criseyde his lady dere,u Sx uS uSx u Su Sx,u Sx uS uSx u Su Sx,u Sx uS uSx u Su Sx,10,10,10,1,1
With look doun cast and humble yolden chere,With look doun cast and humble yolden chere,u S u S u Su Su Sx,u S u S u Su Su Sx,u S u S u Su Su Sx,10,10,10,1,1
"Lo, the alderfirste word that him asterte",Lo the alderfirste word that him asterte,u S uSux S u S uSx,u S uSux S u S uSx,u S uSux S u S uSx,10,10,10,1,1
"Was, twyes, “Mercy, mercy, swete herte!”",Was twyes Mercy mercy swete herte,u Su Su Su Su Sx,u Su Su Su Su Sx,u Su Su Su Su Sx,10,10,10,1,1
"And stinte a whil, and whan he mighte out bringe",And stinte a whil and whan he mighte out bringe,u Sx u S u S u Sx u Sx,u Sx u S u S u Sx u Sx,u Sx u S u S u Sx u Sx,10,10,10,1,1
"The nexte word was, “God wot, for I have",The nexte word was God wot for I have,u Su S u S u S u Sx,u Su S u S u S u Sx,u Su S u S u S u Sx,10,10,10,1,1
As feithfully as I have had konninge,As feithfully as I have had konninge,u SuS u S ux S uSx,u SuS u S ux S uSx,u SuS u S ux S uSx,10,10,10,1,1
"Ben youres, also God my sowle save;",Ben youres also God my sowle save,u Su Su S u Su Sx,u Su Su S u Su Sx,u Su Su S u Su Sx,10,10,10,1,1
"And shal, til that I, woful wight, be grave.",And shal til that I woful wight be grave,u S u S u Su S u Sx,u S u S u Su S u Sx,u S u S u Su S u Sx,10,10,10,1,1
And though I dar ne can unto yow pleine,And though I dar ne can unto yow pleine,u S u S u S uS u Sx,u S u S u S uS u Sx,u S u S u S uS u Sx,10,10,10,1,1
"Ywis, I suffre nought the lasse peine.",Ywis I suffre nought the lasse peine,uS u Su S u Su Sx,uS u Su S u Su Sx,uS u Su S u Su Sx,10,10,10,1,1
"Thus muche as now, O wommanliche wif",Thus muche as now O wommanliche wif,u Sx u S u SuSu S,u Sx u S u SuSu S,u Sx u S u SuSu S,10,10,10,1,1
"I may outbringe, and if this yow displese",I may outbringe and if this yow displese,u S uSx u S u S uSx,u S uSx u S u S uSx,u S uSx u S u S uSx,10,10,10,1,1
That shal I wreke upon min owne lif,That shal I wreke upon min owne lif,u S u Sx uS u Su S,u S u Sx uS u Su S,u S u Sx uS u Su S,10,10,10,1,1
"Right sone, I trowe, and doon your herte an ese",Right sone I trowe and doon your herte an ese,u Sx u Sx u S u Sx u Sx,u Sx u Sx u S u Sx u Sx,u Sx u Sx u S u Sx u Sx,10,10,10,1,1
If with my deeth your herte I may apese.,If with my deeth your herte I may apese,u S u S u Sx u S uSx,u S u S u Sx u S uSx,u S u S u Sx u S uSx,10,10,10,1,1
But sin that ye han herd me somwhat seye,But sin that ye han herd me somwhat seye,u S u S u S u Su S,u S u S u S u Su S,u S u S u S u Su S,10,10,10,1,1
Now recche I never how sone that I deye.”,Now recche I never how sone that I deye,u Sx u Su S ux S u S,u Sx u Su S ux S u S,u Sx u Su S ux S u S,10,10,10,1,1
Therwith his manly sorwe to biholde,Therwith his manly sorwe to biholde,uS u Su Su S uSx,uS u Su Su S uSx,uS u Su Su S uSx,10,10,10,1,1
It mighte han maad an herte of stoon to rewe;,It mighte han maad an herte of stoon to rewe,u Sx u S u Sx u S u Sx,u Sx u S u Sx u S u Sx,u Sx u S u Sx u S u Sx,10,10,10,1,1
And Pandare weep as he to watre wolde,And Pandare weep as he to watre wolde,u Sux S u S u Su Sx,u Sux S u S u Su Sx,u Sux S u S u Su Sx,10,10,10,1,1
And poked ever his nece newe and newe,And poked ever his nece newe and newe,u Su Su S ux Sx u Sx,u Su Su S ux Sx u Sx,u Su Su S ux Sx u Sx,10,10,10,1,1
"And seide, “Wo bigon ben hertes trewe!",And seide Wo bigon ben hertes trewe,u Su S uS u Su Sx,u Su S uS u Su Sx,u Su S uS u Su Sx,10,10,10,1,1
"For love of God, make of this thing an ende",For love of God make of this thing an ende,u Sx u S ux S u S u Sx,u Sx u S ux S u S u Sx,u Sx u S ux S u S u Sx,10,10,10,1,1
"Or slee us bothe at ones, er that ye wende.”",Or slee us bothe at ones er that ye wende,u S u Sx u Sx u S u Sx,u S u Sx u Sx u S u Sx,u S u Sx u Su S u S ux,10,10,11,1,0
"“I? what?” quod she, “By God and by my trouthe",I what quod she By God and by my trouthe,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
I noot nought what ye wilne that I seye.”,I noot nought what ye wilne that I seye,u S u S u Su S u S,u S u S u Su S u S,u S u S u Su S u S,10,10,10,1,1
"“I? what?” quod he, “that ye han on him routhe",I what quod he that ye han on him routhe,u S u S u S u S u Sx,u S u S u S u S u Sx,u S u S u S u S u Sx,10,10,10,1,1
"For Goddes love, and doth him nought to deie.”",For Goddes love and doth him nought to deie,u Su Sx u S u S u S,u Su Sx u S u S u S,u Su Sx u S u S u S,10,10,10,1,1
"“Now thanne thus,” quod she, “I wolde him preye",Now thanne thus quod she I wolde him preye,u Su S u S u Sx u S,u Su S u S u Sx u S,u Su S u S u Sx u S,10,10,10,1,1
To telle me the fin of his entente;,To telle me the fin of his entente,u Su S u S u S uSx,u Su S u S u S uSx,u Su S u S u S uSx,10,10,10,1,1
Yet wiste I never wel what that he mente.”,Yet wiste I never wel what that he mente,u Sx u Su S u S u Sx,u Sx u Su S u S u Sx,u Sx u Su S u S u Sx,10,10,10,1,1
"“What that I mene, O swete herte dere?”",What that I mene O swete herte dere,u S u Sx u Su Su Sx,u S u Sx u Su Su Sx,u S u Sx u Su Su Sx,10,10,10,1,1
"Quod Troilus, “O goodly fresshe free!",Quod Troilus O goodly fresshe free,u SuS u Su Su S,u SuS u Su Su S,u SuS u Su Su S,10,10,10,1,1
"That, with the stremes of your eyen clere",That with the stremes of your eyen clere,u S u Su S u Su Sx,u S u Su S u Su Sx,u S u Su S u Su Sx,10,10,10,1,1
Ye wolde somtime freendly on me see,Ye wolde somtime freendly on me see,u Su Sux Su S u S,u Sx uSu Su S u S,u Sx uSu Su S u S,10,10,10,0,0
And thanne agreën that I may ben he,And thanne agren that I may ben he,u Sx uSu S u S u S,u Su Su S u S u S,u Su Su S u S u S,10,10,10,0,0
Withoute braunche of vice in any wise,Withoute braunche of vice in any wise,uSu Sx u Sx u Su Sx,uSu Sx u Sx u Su Sx,uSu Sx u Sx u Su Sx,10,10,10,1,1
In trouthe alwey to doon yow my servise,In trouthe alwey to doon yow my servise,u Sx uS u S u S uSx,u Sx uS u S u S uSx,u Sx uS u S u S uSx,10,10,10,1,1
As to my lady right and chief resort,As to my lady right and chief resort,u S u Su S u S uS,u S u Su S u S uS,u S u Su S u S uS,10,10,10,1,1
With al my wit and al my diligence,With al my wit and al my diligence,u S u S u S u SuSx,u S u S u S u SuSx,u S u S u S u SuSx,10,10,10,1,1
"And I to han, right as yow list, comfort",And I to han right as yow list comfort,u S u S u S u S uS,u S u S u S u S uS,u S u S u S u S uS,10,10,10,1,1
"Under your yerde, egal to min offence",Under your yerde egal to min offence,uS u Sx uS u S uSx,ux S uSx uS u S uSx,uS u Sx uS u S uSx,10,10,10,0,1
"As deeth, if that I breke your defence;",As deeth if that I breke your defence,u S u S u Su S uSx,u S u S u Su S uSx,u S u S u Su S uSx,10,10,10,1,1
And that ye deigne me so muche honoure,And that ye deigne me so muche honoure,u S u Su S u Sx uSx,u S u Su S u Sx uSx,u S u Su S u Sx uSx,10,10,10,1,1
Me to comaunden ought in any houre.,Me to comaunden ought in any houre,u S uSu S u Su Sx,u S uSu S u Su Sx,u S uSu S u Su Sx,10,10,10,1,1
And I to ben your verray humble trewe,And I to ben your verray humble trewe,u S u S u Su Su Sx,u S u S u Su Su Sx,u S u S u Su Su Sx,10,10,10,1,1
"Secret, and in my paines pacient",Secret and in my paines pacient,uS u S u Su SuS,uS u S u Su SuS,uS u S u Su SuS,10,10,10,1,1
And evermo desire freshly newe,And evermo desire freshly newe,u SuS uSu Su Sx,u SuS uSu Su Sx,u SuS uSu Su Sx,10,10,10,1,1
"To serve, and been ylike ay diligent",To serve and been ylike ay diligent,u Sx u S uSx u SuS,u Sx u S uSx u SuS,u Sx u S uSx u SuS,10,10,10,1,1
"And, with good herte, al holly your talent",And with good herte al holly your talent,u S u Sx u Su S uS,u S u Sx u Su S uS,u S u Sx u Su S uS,10,10,10,1,1
"Receiven wel, how sore that me smerte",Receiven wel how sore that me smerte,uSu S u Su S u Sx,uSu S u Su S u Sx,uSu S u Su S u Sx,10,10,10,1,1
"Lo, this mene I, min owene swete herte.”",Lo this mene I min owene swete herte,u S ux S u Sux Su Sx,u S ux S u Sux Su Sx,u S ux S u Sux Su Sx,10,10,10,1,1
"Quod Pandarus, “Lo, here an hard request",Quod Pandarus Lo here an hard request,u SuS u Sx u S uS,u SuS u Sx u S uS,u SuS u Sx u S uS,10,10,10,1,1
"And resonable, a lady for to werne!",And resonable a lady for to werne,u SuSx u Su S u Sx,u SuSx u Su S u Sx,u SuSx u Su S u Sx,10,10,10,1,1
"Now, nece min, by natal Joves fest",Now nece min by natal Joves fest,u Su S u Su Su S,u Su S u Su Su S,u Su S u Su Su S,10,10,10,1,1
"Were I a god, ye sholde sterve as yerne",Were I a god ye sholde sterve as yerne,ux S u S u Su Sx u Sx,ux S u S u Sx ux S uSx,ux S u S u Su Sx u Sx,10,10,10,0,1
"That heren wel, this man wol nothing yerne",That heren wel this man wol nothing yerne,u Su S u S u Su Sx,u Sx u S u S uS uSx,u Su S u S u Su Sx,10,10,10,0,1
"But your honour, and seen him almost sterve",But your honour and seen him almost sterve,u S uS u S u Su Sx,u S uS u S u Su Sx,u S uS u S u Su Sx,10,10,10,1,1
