rank,folder,file,line_number,oxford_text,current_confidence,current_scansion,gain,needed_words
293,to_complete,Anelida_gui.csv,Anelida and Arcite 316,To renne away when he is leest agast,82.96,u Sx uS u S u S uS,39,"agast(2), away(1), renne(1), when(1), leest(2)"
294,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 317,I trow thou woldest lok me in thy chiste,32.21,u S u Su S u S u Sx,39,"chiste(0), lok(0), woldest(0), trow(1)"
295,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 1391,As Crassus did for his affectis wronge,36.20,u Su S u S uSu Sx,39,"affectis(0), crassus(0), wronge(0), did(1)"
296,to_complete,RvT_gui.csv,The Reeve's Tale 3928,And turne coppes and wel wrastle and shete,27.75,u Su Su S u Sx u Sx,39,"coppes(0), shete(0), wrastle(0), turne(1)"
297,to_complete,PF_gui.csv,Parliament of Fowls 357,The fesaunt scorner of the cok by nighte,45.13,u Su Su S u S u Sx,39,"fesaunt(0), nighte(0), scorner(0), cok(1)"
298,to_complete,CYPro_gui.csv,Prologue to the Canon's Yeoman's Tale 564,About the peitrel stood the foom ful hie,55.91,uS u Su S u S u S,39,"about(0), foom(0), peitrel(0), stood(5), hie(3)"
299,to_complete,MkT_gui.csv,The Monk's Tale 2172,And eet hay as an oxe and lay theroute,43.76,u S u S u Sx u S uSx,39,"eet(0), hay(0), theroute(0), oxe(0)"
300,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 820,The foure spirits and the bodies sevene,41.32,u Sx uS u S uSu Sux,39,"bodies(0), sevene(0), spirits(0), foure(1)"
301,to_complete,ClT_gui.csv,The Clerk's Tale 409,Of thewes gode yset in heigh bountee,46.83,u Su Sx uS u S uS,39,"bountee(1), gode(1), thewes(1), yset(0), heigh(4)"
302,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 751,Doun fille as shour in Aperill ful swithe,40.32,u Sx u S u SuS u Sx,39,"aperill(0), shour(0), swithe(0), fille(1)"
303,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 285,Thou seyst that oxen asses hors and houndes,47.59,u S u Su Su S u Sx,39,"oxen(0), seyst(0), asses(1), houndes(1), hors(9)"
304,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 845,Anoy smert drede fury and eek siknesse,36.17,uS u Sx uS u S uSx,39,"anoy(0), fury(0), siknesse(0), smert(0)"
305,to_complete,MilT_gui.csv,The Miller's Tale 3378,He sente hir piment meeth and spiced ale,64.05,u Sx u Su S u Su Sx,39,"meeth(0), piment(0), spiced(1), ale(3), sente(7)"
306,to_complete,SqT_gui.csv,The Squire's Tale 46,Don crien thurghout Sarray his citee,30.05,u Su Su Su S uS,39,"sarray(0), citee(1), crien(1), thurghout(0), don(8)"
307,to_complete,MLT_gui.csv,The Man of Law's Tale 1014,Biforn Alla during the metes space,48.75,uS uS uS u Su Sx,39,"alla(0), during(0), metes(0), biforn(5), space(6)"
308,to_complete,KnT_gui.csv,The Knight's Tale 2140,Instede of cote armure over his harnais,23.20,uSx u Sx uSx ux S uS,39,"armure(0), harnais(0), instede(0), cote(4), over(5)"
309,completed_unvetted,ABC_gui_complete.csv,ABC 56,To stink eterne he wol my gost exile,49.47,u S uSx u S u S uSx,39,"exile(0), gost(0), stink(0), eterne(1)"
310,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 40,With spere in hond and bigge bowes bente,61.12,u Sx u S u Su Su Sx,39,"bente(0), bigge(0), bowes(1), spere(1), hond(9)"
311,to_complete,PF_gui.csv,Parliament of Fowls 349,The tame ruddok and the coward kite,27.85,u Su Su S u Su Sx,39,"coward(0), kite(0), ruddok(0), tame(0)"
312,to_complete,ClT_gui.csv,The Clerk's Tale 454,This merveillous desir his wif t assaye,0.00,      ,39,"assaye(0), merveillous(0), desir(2), t(1), wif(3)"
313,in_progress,BD_gui_in_progress.csv,Book of the Duchess 929,I durst swere thogh the pope it songe,56.39,u S ux S u Sx u Sx,39,"durst(0), pope(2), swere(1), songe(3), thogh(4)"
314,to_complete,NPT_gui.csv,The Nun's Priest's Tale 2845,Seind bacoun and somtime an ei or tweie,41.29,u Su S uSx u S u S,39,"bacoun(0), ei(0), seind(0), somtime(3), tweie(7)"
315,to_complete,KnT_gui.csv,The Knight's Tale 2607,Up springen speres twenty foot on highte,33.63,u Su Su Su S u Sx,39,"springen(0), foot(1), speres(0), highte(1), twenty(5)"
316,to_complete,KnT_gui.csv,The Knight's Tale 2504,Gigginge of sheeldes with laineres lacing,34.44,uSx u Su S uSx uS,39,"gigginge(0), lacing(0), laineres(0), sheeldes(1)"
317,to_complete,KnT_gui.csv,The Knight's Tale 1454,Who feleth double soor and hevinesse,40.45,u Su Su S u SuSx,39,"feleth(0), hevinesse(0), soor(0), double(1)"
318,to_complete,SumT_gui.csv,The Summoner's Tale 1749,A Gods halfpeny or a masse peny,42.35,u S uSu S u Sx uS,39,"gods(0), halfpeny(0), peny(0), masse(1)"
319,to_complete,CYPro_gui.csv,Prologue to the Canon's Yeoman's Tale 658,Lurkinge in hernes and in lanes blinde,24.79,uSu S uS u S ux Sx,39,"hernes(0), lanes(0), lurkinge(0), blinde(0)"
320,to_complete,LGW_gui.csv,100-ch 1368,Thou rote of false lovers Duk Jasoun,45.48,u Sx u Su Su S uS,39,"lovers(0), duk(0), jasoun(0), false(1), rote(6)"
321,to_complete,PF_gui.csv,Parliament of Fowls 182,The victor palm the laurer to devine,28.97,u Su S u Su S uSx,39,"devine(0), palm(0), victor(0), laurer(0)"
322,to_complete,HF_gui.csv,House of Fame 485,Or bush or gras or ered londe,37.29,u S u S u Su Sx,39,"ered(0), gras(0), londe(0), bush(0)"
323,to_complete,SumT_gui.csv,The Summoner's Tale 1767,Refresshed mor than in an hundred placis,30.09,uSu S u S u Sx uS,39,"mor(0), placis(0), refresshed(0), hundred(0)"
324,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 5,That she hem hent and blent traitour comune,30.04,u S u S u S uS uSx,38,"blent(0), comune(0), hent(0), traitour(0)"
325,to_complete,NPT_gui.csv,The Nun's Priest's Tale 3334,And daun Russel the fox sterte up at ones,51.19,u S uS u S ux S u Sx,38,"russel(0), fox(1), sterte(2), daun(0), ones(5)"
326,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 828,Saturnus leed and Jupiter is tin,56.54,uSu S u SuS u S,38,"saturnus(0), tin(0), jupiter(1), leed(1)"
327,to_complete,PF_gui.csv,Parliament of Fowls 381,Hath knit with even noumbre of acorde,48.63,u S u Su Su S uSx,38,"knit(0), noumbre(0), acorde(1), even(1)"
328,to_complete,MLT_gui.csv,The Man of Law's Tale 600,And kitte the throte of Hermengild atwo,36.01,u Sx u Sx u SuS uS,38,"atwo(0), hermengild(0), kitte(0), throte(1)"
329,to_complete,SqT_gui.csv,The Squire's Tale 651,Thus lete I Canacee hir hauk keping,40.12,u Sx u SuS u S uS,38,"canacee(0), hauk(0), keping(0), lete(1)"
330,in_progress,BD_gui_in_progress.csv,Book of the Duchess 767,And throgh plesaunce become his thralle,45.37,u S uSx uSx u Sx,38,"become(0), thralle(0), throgh(0), plesaunce(1)"
331,to_complete,ClT_gui.csv,The Clerk's Tale 783,Toward Saluces shaping hir journey,3.21,uS uSu Su S uS,38,"journey(0), saluces(0), shaping(0), toward(1)"
332,to_complete,MkT_gui.csv,The Monk's Tale 2764,With unwar strook the regnes that ben proude,57.92,u Su S u Su S u Sx,38,"regnes(0), unwar(0), proude(1), strook(1)"
333,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 1231,Bitrent and writh the sote wodebinde,30.42,uS u S u Su SuSx,38,"bitrent(0), wodebinde(0), writh(0), sote(1)"
334,to_complete,MLT_gui.csv,The Man of Law's Tale 1138,Envie or pride or passion or offence,41.00,uS u Sx u Su S uSx,38,"envie(0), passion(0), offence(1), pride(0)"
335,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 1308,He putte the ounce of coper in the croslet,43.78,u Sx u Sx u Sx u S uS,38,"coper(0), croslet(0), ounce(0), putte(2)"
336,to_complete,MkT_gui.csv,The Monk's Tale 2206,Wroot Mane techel phares and namore,14.16,u Su Su Su S uSx,38,"mane(0), phares(0), techel(0), namore(4), wroot(4)"
337,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 175,Nor under cloude blak so bright a sterre,50.04,u Su Su S u S u Sx,38,"cloude(0), sterre(0), bright(2), blak(2), nor(5), under(9)"
338,in_progress,BD_gui_in_progress.csv,Book of the Duchess 957,Hir hippes were a streight flat bakke,45.95,u Su Sx u S u Sx,38,"bakke(0), flat(0), hippes(0), streight(2)"
339,to_complete,ClT_gui.csv,The Clerk's Tale 220,Ther was enclosed ripe and sad corage,33.91,u S uSu Sx u S uSx,38,"enclosed(0), ripe(0), sad(0), corage(1)"
340,to_complete,KnT_gui.csv,The Knight's Tale 2152,Colers of gold and torets filed rounde,33.51,uS u S u Su Su Sx,38,"colers(0), filed(0), torets(0), rounde(0)"
341,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 721,Tho redde he me how Sampson loste his heres,34.61,u Sx u S u Su Sx u Sx,38,"loste(0), redde(0), sampson(0), heres(1)"
342,to_complete,KnT_gui.csv,The Knight's Tale 1868,Seyeth your avis and holdeth yow apaid,20.71,uS u Su S ux S uS,38,"apaid(0), seyeth(0), avis(1), holdeth(0)"
343,to_complete,PF_gui.csv,Parliament of Fowls 101,The juge dremeth how his plees ben sped,33.28,u Su Su S u S u S,38,"dremeth(0), plees(0), sped(0), juge(1)"
344,to_complete,MerT_gui.csv,The Merchant's Tale 1825,Lik to the skin of houndfish sharp as brere,39.09,u S u S u Su S u Sx,38,"brere(0), houndfish(0), skin(0), sharp(1), lik(8)"
345,to_complete,WBPro_gui.csv,The Wife of Bath's Prologue 696,Than all the mark of Adam may redresse,49.47,u S u S u Su S uSx,38,"adam(0), mark(0), redresse(0), all(1)"
346,to_complete,KnT_gui.csv,The Knight's Tale 2815,Arcite is cold ther Mars his soule gie,60.61,uSx u S u S u Su S,38,"arcite(0), gie(0), soule(3), cold(3), mars(3)"
347,to_complete,MilT_gui.csv,The Miller's Tale 3575,Than shaltow swimme as mirie I undertake,34.41,u Su Sx u Su x SuSx,38,"mirie(0), shaltow(0), swimme(0), undertake(2)"
348,to_complete,PardPro_gui.csv,The Pardoner's Prologue 426,Radix malorum est cupiditas,25.00,uS uSu S uSuS,38,"cupiditas(0), malorum(0), radix(0), est(1)"
349,to_complete,LGW_gui.csv,100-ch 1475,With tempest thider were yblowe anight,18.14,u Su Su Sx uSx uS,38,"thider(0), yblowe(0), anight(0), tempest(1)"
350,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 470,The sharpe shoures felle of armes preve,51.72,u Su Su Sx u Su Sx,38,"preve(0), shoures(1), felle(0), sharpe(4), armes(4)"
351,to_complete,NPT_gui.csv,The Nun's Priest's Tale 3385,Ran cow and calf and eek the verray hogges,59.52,u S u S u S u Su Sx,38,"cow(0), hogges(0), calf(1), ran(1), verray(6)"
352,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1812,The erratik sterres herkeninge armonie,18.50,u SuS ux SuSx uSu,38,"armonie(0), erratik(0), herkeninge(0), sterres(2)"
353,to_complete,MLT_gui.csv,The Man of Law's Tale 774,Thy mind is lorn thou janglest as a jay,44.53,u S u S u Su S u S,38,"janglest(0), lorn(0), mind(0), jay(1)"
354,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 861,To reise a feend al looke he never so rowe,46.91,u Sx u S u Sx u S u Sx,38,"looke(0), reise(0), feend(0), rowe(1)"
355,to_complete,MilT_gui.csv,The Miller's Tale 3763,He sharpeth shaar and cultour bisily,42.84,u Su S u Su SuS,38,"cultour(0), shaar(0), sharpeth(0), bisily(2)"
356,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 1719,He yeveth frely ofte and chaungeth wede,43.86,u Su Su Sx u Su Sx,38,"frely(0), wede(0), yeveth(0), chaungeth(2)"
357,to_complete,SNT_gui.csv,The Second Nun's Tale 411,Bad his ministres fecchen openly,3.56,u S uSu Su SuS,38,"fecchen(0), ministres(0), openly(0), bad(1)"
358,to_complete,MerT_gui.csv,The Merchant's Tale 1377,Suffre thy wives tonge as Caton bit,15.97,ux S uS ux S uS u,38,"caton(0), bit(1), suffre(2), wives(3), tonge(5)"
359,to_complete,LGW_gui.csv,100-ch 888,And seigh her wimpel and his empty shethe,47.77,u S u Su S u Su Sx,38,"shethe(0), empty(0), seigh(1), wimpel(1), her(1)"
360,to_complete,KnT_gui.csv,The Knight's Tale 2049,With sotil pencel was depeint this storie,0.00,      ,38,"depeint(0), pencel(0), sotil(0), storie(1)"
361,to_complete,MkT_gui.csv,The Monk's Tale 2727,This riche Cresus whilom king of Lide,28.06,u Su Su Su S u Sx,38,"cresus(0), lide(0), whilom(1), king(3), riche(5)"
362,to_complete,PhyT_gui.csv,The Physician's Tale 175,Virginius cam to wite the juges wille,34.93,uSuS u S ux S ux Sx,38,"juges(0), virginius(0), wille(2), cam(2), wite(5)"
363,to_complete,LGW_FPro_gui.csv,The Legend of Good Women; Prologue F 66,Allas that I nad English rime or prose,47.53,uS u S u Su Sx u Sx,38,"nad(0), prose(0), english(1), rime(1)"
364,to_complete,PF_gui.csv,Parliament of Fowls 2,Th assay so sharpso hard the conqueringe,37.13, uS u Su S u SuSx,38,"assay(0), conqueringe(0), sharpso(0), hard(5), th(4)"
365,to_complete,FranPro_gui.csv,Prologue to the Franklin's Tale 710,Of diverse aventures maden laies,13.91,u Sux SuSx uS uS,38,"laies(0), maden(0), aventures(1), diverse(0)"
366,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 247,Out stremeden as swifte welles tweye,35.19,u SuS u Su Su S,38,"stremeden(0), swifte(0), tweye(1), welles(0)"
367,to_complete,HF_gui.csv,House of Fame 967,Snowes hailes reines windes,0.00,uS uS uS uS,38,"hailes(0), snowes(0), reines(0), windes(1)"
368,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 1810,In hil Parnaso listen for to abide,27.81,u S uSu Su S x uSx,38,"hil(0), listen(0), parnaso(0), abide(1)"
369,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 627,Thourgh girt with many a wide and blody wounde,63.44,u S u Sx u Sx u Su Sx,38,"thourgh(0), wounde(1), girt(1), blody(1), wide(5)"
370,to_complete,LGW_gui.csv,100-ch 916,And thus ar Tisbe and Piramus ago,50.54,u S u Sx u SuS uS,38,"ar(0), tisbe(0), ago(1), piramus(0)"
371,to_complete,LGW_gui.csv,100-ch 2006,To slake his hunger and encombre his teeth,44.47,u Sx u Su S uSx u S,38,"encombre(0), hunger(0), slake(1), teeth(0)"
372,to_complete,KnT_gui.csv,The Knight's Tale 1632,The bataille in the feeld bitwix hem tweine,45.90,u Sux S u S uS u Sx,38,"bataille(0), bitwix(0), feeld(0), tweine(1)"
373,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 1144,This preeste at this cursed chanons bidding,24.18,u Su S u Sx uS uS,38,"bidding(0), chanons(0), preeste(0), cursed(0)"
374,to_complete,KnT_gui.csv,The Knight's Tale 2961,Who wrastleth best naked with oille enoint,22.76,u Su S uS u Sx uS,38,"enoint(0), wrastleth(0), naked(1), oille(1)"
375,to_complete,PF_gui.csv,Parliament of Fowls 344,The crane geaunt with his trompes soune,44.54,u Su Su S u Su Sx,38,"crane(0), geaunt(0), soune(1), trompes(0)"
376,to_complete,RvT_gui.csv,The Reeve's Tale 4111,Our corn is stoln men wil us foles calle,61.98,u S u S u S u Su Sx,38,"stoln(0), foles(0), wil(3), calle(4), corn(1)"
377,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 469,Fortune his howve entended bet to glase,36.56,uSx u Sx uSu S u Sx,38,"entended(0), glase(0), howve(0), fortune(2)"
378,to_complete,LGW_gui.csv,100-ch 1798,Right as a wolf that fint a lomb aloon,49.57,u S u S u S u S uS,38,"aloon(0), lomb(0), fint(0), wolf(1)"
379,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1205,The thridde ferthe fifte sixte day,30.97,u Su Su Su Su S,38,"ferthe(0), fifte(0), sixte(0), thridde(2)"
380,to_complete,MilT_gui.csv,The Miller's Tale 3810,And Nicholas amid the ers he smoot,49.93,u SuS uS u S u S,38,"amid(0), ers(0), nicholas(0), smoot(2)"
381,to_complete,ClT_gui.csv,The Clerk's Tale 919,Dwelleth this flour of wifly pacience,38.30,uS u S u Su SuSx,38,"dwelleth(0), pacience(0), flour(1), wifly(0)"
382,to_complete,PF_gui.csv,Parliament of Fowls 231,I saw a temple of bras yfounded stronge,37.84,u S u Su S u Sux Sx,38,"yfounded(0), bras(1), stronge(0), temple(2), saw(5)"
383,to_complete,MkT_gui.csv,The Monk's Tale 2263,She dorste wilde beestes dennes seke,39.03,u Su Su Su Su Sx,38,"beestes(0), dennes(0), seke(2), wilde(1), dorste(5)"
384,to_complete,HF_gui.csv,House of Fame 1720,And ring this folkes werkes by note,56.56,u S u Su Sx u Sx,38,"folkes(0), werkes(0), note(1), ring(1)"
385,to_complete,PardT_gui.csv,The Pardoner's Tale 653,Seven is my chaunce and thin is cink and treye,20.35,uS u S ux S u S u S u,38,"cink(0), treye(0), chaunce(1), seven(0)"
386,to_complete,ClT_gui.csv,The Clerk's Tale 267,This royal markis richely arrayed,12.04,u Su Su Sux SuS,38,"arrayed(0), markis(0), richely(1), royal(0)"
387,to_complete,PF_gui.csv,Parliament of Fowls 339,The quailes foo the merlion that paineth,49.86,u Su S u SuS u Sx,38,"merlion(0), paineth(0), quailes(0), foo(1)"
388,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 880,Sholden spille a quarter of a tere,18.63,uS ux S ux S u Su,38,"spille(0), tere(0), quarter(0), sholden(1)"
389,to_complete,MkT_gui.csv,The Monk's Tale 2752,And Juppiter bitokneth snow and rein,38.35,u SuS uSu S u S,38,"bitokneth(0), juppiter(0), snow(0), rein(2)"
390,to_complete,PardPro_gui.csv,The Pardoner's Prologue 364,As thilke holy Jewe our eldres taughte,59.92,u Su Su Sx u Su Sx,38,"eldres(0), jewe(0), taughte(1), thilke(3), holy(7)"
391,to_complete,FranT_gui.csv,The Franklin's Tale 1254,Biforn him stant braun of the tusked swin,60.61,uS u S u S u Su S,38,"braun(0), tusked(0), swin(1), stant(3), biforn(5)"
392,to_complete,SqT_gui.csv,The Squire's Tale 263,Phebus hath laft the angle meridional,23.26,uS u S u Sx xuSuS,38,"angle(0), laft(0), meridional(0), phebus(1)"
393,to_complete,WBT_gui.csv,The Wife of Bath's Tale 1158,For vileins sinful dedes make a cherl,47.90,u Su Su Su Sx u S,38,"dedes(0), vileins(0), cherl(0), sinful(1)"
394,to_complete,MkT_gui.csv,The Monk's Tale 2101,He golden apples rafte of the dragoun,20.47,u Su Su Sx u S uS,38,"dragoun(0), rafte(0), apples(0), golden(0)"
395,to_complete,MLT_gui.csv,The Man of Law's Tale 743,This messager drank sadly ale and win,46.46,u SuS u Su Sx u S,38,"drank(0), messager(0), sadly(0), ale(3), win(8)"
396,to_complete,RvPro_gui.csv,The Reeve's Prologue 3912,For leveful is with force force ofshowve,21.41,u SuS u S ux Sx uSx,38,"leveful(0), ofshowve(0), force(0)"
397,to_complete,MLT_gui.csv,The Man of Law's Tale 500,Who fedde the Egipcien Marie in the cave,0.00,       ,38,"egipcien(0), marie(0), cave(1), fedde(1)"
398,to_complete,PF_gui.csv,Parliament of Fowls 543,For sirs ne taketh noght agref I preye,60.14,u S u Su S uS u S,38,"agref(0), sirs(0), taketh(1), preye(3), noght(8)"
399,to_complete,LGW_FPro_gui.csv,The Legend of Good Women; Prologue F 539,Hid Absolon thy tresses in balade,20.78,u SuS u Su S uSx,38,"balade(0), hid(0), absolon(0), tresses(0)"
400,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 626,Shulle in a strete as dogges liggen dede,47.11,ux S u Sx u Su Su Sx,38,"dogges(0), liggen(0), shulle(0), strete(5), dede(7)"
401,to_complete,KnT_gui.csv,The Knight's Tale 2222,Doughter to Jove and spouse of Vulcanus,34.43,uS u Sx u Sx u SuS,38,"spouse(0), vulcanus(0), doughter(1), jove(0)"
402,to_complete,LGW_gui.csv,100-ch 1683,As saith Ovide and Titus Livius,27.00,u S uSx u Su SuS,38,"livius(0), saith(0), titus(0), ovide(0)"
403,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 409,If harme agree me wherto pleine I thenne,46.27,u Sx uS u Su Sx u Sx,38,"agree(0), harme(0), wherto(1), thenne(2), pleine(8)"
404,to_complete,MerT_gui.csv,The Merchant's Tale 1313,As londes rentes pasture or commune,22.50,u Su Su Sux S uSx,38,"commune(0), pasture(0), rentes(0), londes(2)"
405,in_progress,BD_gui_in_progress.csv,Book of the Duchess 441,Yet shulde he fail to rekene evene,36.75,u Sx u S u Sux Sux,38,"evene(0), fail(0), rekene(0), shulde(2)"
406,to_complete,FriT_gui.csv,The Friar's Tale 1356,That wheither that sir Robert or sir Huwe,39.12,u Su S u Su S u Sx,38,"huwe(0), robert(0), wheither(0), sir(4)"
407,to_complete,LGW_gui.csv,100-ch 2425,Ligurgus doghter fairer on to sene,56.51,uSu Su Su S u Sx,37,"ligurgus(0), doghter(0), fairer(1), sene(1)"
408,to_complete,MkT_gui.csv,The Monk's Tale 2616,That thurgh his body wikked wormes crepte,54.82,u S u Su Su Su Sx,37,"crepte(0), wormes(0), body(1), wikked(2), thurgh(8)"
409,in_progress,BD_gui_in_progress.csv,Book of the Duchess 660,And Mate in mid point of the chekkere,33.90,u Sx u S u S u Sxx,37,"chekkere(0), mate(0), mid(0), point(3)"
410,to_complete,ClT_gui.csv,The Clerk's Tale 1147,As was Grisilde therfor Petrark writeth,38.75,u S uSu Su Su Sx,37,"grisilde(0), petrark(0), therfor(1), writeth(0)"
411,to_complete,ClT_gui.csv,The Clerk's Tale 529,That lordes hestes mowe nat been yfeined,46.45,u Su Su Sx u S uSx,37,"hestes(0), mowe(0), yfeined(0), lordes(3)"
412,to_complete,TC5_gui.csv,Troilus and Criseyde; Book V 1343,That sleeth my wit if ought amis m masterte,53.96,u S u S u S uS  uSx,37,"masterte(0), sleeth(0), m(2), ought(5), amis(6)"
413,to_complete,LGW_FPro_gui.csv,The Legend of Good Women; Prologue F 321,Hit is my relik digne and delitable,42.19,u S u Su Sx u SuSx,37,"delitable(0), hit(0), relik(0), digne(3)"
414,in_progress,TC3_gui_in_progress.csv,Troilus and Criseyde; Book III 1718,He spendeth jousteth maketh festeyinges,33.40,u Su Su Sx uSuS,37,"festeyinges(0), jousteth(0), spendeth(0), maketh(1)"
415,to_complete,LGW_gui.csv,100-ch 2174,To shippe and as a traitour stal his way,41.49,u Sx u S u Su S u S,37,"shippe(0), way(0), stal(0), traitour(0)"
416,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 218,As proude Bayard ginneth for to skippe,41.40,u Su Su Su S u Sx,37,"bayard(0), skippe(0), ginneth(1), proude(1)"
417,to_complete,TC1_gui.csv,Troilus and Criseyde; Book I 394,As writ min autour called Lollius,54.97,u S u Su Su SuS,37,"autour(0), lollius(0), writ(1), called(2)"
418,to_complete,MLT_gui.csv,The Man of Law's Tale 501,Or in desert no wight but Crist sans faille,47.35,u S uS u S u S u Sx,37,"desert(0), faille(0), sans(0), crist(2)"
419,to_complete,MkT_gui.csv,The Monk's Tale 2105,He slow the firy serpent venimous,26.58,u S u Su Su SuS,37,"serpent(0), venimous(0), firy(0), slow(0)"
420,to_complete,SqT_gui.csv,The Squire's Tale 386,That in the Ram is four degrees upronne,43.44,u S u S u S uS uSx,37,"four(0), upronne(0), degrees(0), ram(2)"
421,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 790,As bole armoniak vertgrees boras,54.40,u Sx uSuS uS uS,37,"armoniak(0), vertgrees(0), boras(1), bole(1)"
422,to_complete,SumT_gui.csv,The Summoner's Tale 2149,Amidde his hand he leet the frere a fart,68.52,uSx u S u S u Sx u S,37,"fart(0), amidde(0), frere(2), hand(2), leet(6)"
423,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 936,As usage is lat sweep the floor as swithe,36.36,u Sux S u S u S u Sx,37,"sweep(0), floor(0), swithe(0), usage(1)"
424,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 1397,They mow wel chiteren as that doon thes jayes,30.36,u S u Sxu S u S u Su,37,"chiteren(0), jayes(0), mow(0), thes(0)"
425,to_complete,SumT_gui.csv,The Summoner's Tale 1890,With Gods finger and Elie wel ye witen,47.82,u S uS u Su S u Su,37,"elie(0), finger(0), gods(0), witen(2)"
426,to_complete,MilT_gui.csv,The Miller's Tale 3291,And swoor hir ooth by Seint Thomas of Kent,61.02,u S u S u S uS u S,37,"kent(0), ooth(1), swoor(1), thomas(1), seint(5)"
427,to_complete,ShipT_gui.csv,07-0-ch 264,Farwel cosin God shilde yow fro care,31.50,uS uS u Su S u Sx,37,"farwel(0), care(1), cosin(1), shilde(1)"
428,to_complete,SqT_gui.csv,The Squire's Tale 443,When that it swowned next for lakke of blood,60.06,u S u Su S u Sx u S,37,"lakke(0), swowned(0), when(1), next(3), blood(4)"
429,to_complete,TC4_gui.csv,Troilus and Criseyde; Book IV 79,This town to shende and al your lust t acheve,48.29,u S u Sx u S u S  uSx,37,"acheve(0), shende(0), town(0), t(1), lust(8)"
430,to_complete,ShipT_gui.csv,07-0-ch 159,Ful lief wer me this conseil for to hide,34.19,u S u S u Su S u Sx,37,"conseil(0), lief(0), hide(0), wer(0)"
431,to_complete,KnT_gui.csv,The Knight's Tale 2544,No maner shot pollax ne shorte knif,64.62,u Su S uS u Su S,37,"pollax(0), shot(0), knif(1), shorte(3), maner(7)"
432,to_complete,SNT_gui.csv,The Second Nun's Tale 307,Quod tho Tiburce woltow me thider lede,56.19,u S uSu Su S ux Sx,37,"tiburce(0), lede(1), thider(0), woltow(1)"
433,to_complete,MkT_gui.csv,The Monk's Tale 2010,And welte al Paradis saving o tree,43.40,u Sx u SuS uS u S,37,"paradis(0), saving(0), welte(0), tree(2)"
434,to_complete,KnT_gui.csv,The Knight's Tale 2204,What haukes sitten on the perche above,43.92,u Su Su S u Sx uSx,37,"perche(0), above(0), haukes(0), sitten(1)"
435,to_complete,RvPro_gui.csv,The Reeve's Prologue 3885,Thise foure sparkles longen unto elde,37.22,ux Su Su Su Su Sx,37,"sparkles(0), longen(1), elde(2), foure(1), thise(3)"
436,to_complete,PardT_gui.csv,The Pardoner's Tale 466,Wheras with harpes lutes and giternes,25.49,uS u Su Sx u SuS,37,"giternes(0), lutes(0), harpes(0), wheras(0)"
437,to_complete,LGW_gui.csv,100-ch 2427,Unnethe is Demophon to londe ywonne,38.44,uSx u SuS u Sx uSx,37,"demophon(0), londe(0), unnethe(1), ywonne(1)"
438,to_complete,KnT_gui.csv,The Knight's Tale 1929,That wered of yelwe goldes a garland,24.20,u Su S ux Su S uS,37,"garland(0), goldes(0), yelwe(0), wered(3)"
439,to_complete,PardT_gui.csv,The Pardoner's Tale 911,Your names I entre heer in my rolle anon,42.84,u Sx u Sx u S u Sx uS,37,"entre(0), names(0), rolle(0), heer(2), anon(8)"
440,to_complete,KnT_gui.csv,The Knight's Tale 2756,Vomit upward ne dounward laxatif,46.90,uS uS u Su SuS,37,"laxatif(0), vomit(0), dounward(1), upward(2)"
441,to_complete,LGW_gui.csv,100-ch 643,Behind the mast beginneth he to flee,43.85,uS u S uSu S u S,37,"beginneth(0), behind(0), mast(0), flee(3)"
442,to_complete,CYT_gui.csv,The Canon's Yeoman's Tale 1225,A teine of silver evel mote he cheve,51.97,u Sx u Su Su Sx u Sx,37,"cheve(0), teine(0), evel(0), silver(4), mote(8)"
