OG_OXFORD_TEXT,OXFORD_TEXT,GREEN_SCANSION,GREEN_SYLLABLES,V1_SCANSION,V1_SYLLABLES,V1_MATCHES_GREEN,V1_CONFIDENCE
"As man, brid, best, fishe, herbe and grene tree",As man brid best fishe herbe and grene tree,u S u S ux Sx u Su S,10,u S u S ux Sx u Su S,10,1,77.60
Thee fele in times with vapour eterne.,Thee fele in times with vapour eterne,u Sx u Su S uS uSx,10,u Sx u Su S uS uSx,10,1,58.61
"God loveth, and to love wol nought werne;",God loveth and to love wol nought werne,u Su S u Su S u Sx,10,u Su S u Su S u Sx,10,1,50.12
And in this world no lives creature,And in this world no lives creature,u S u S u Su SuSx,10,u S u S u Su SuSx,10,1,72.32
"Withouten love, is worth, or may endure.",Withouten love is worth or may endure,uSu Sx u S u S uSx,10,uSu Sx u S u S uSx,10,1,85.01
Ye Joves first to thilke effectes glade,Ye Joves first to thilke effectes glade,u Su S u Sx uSu Sx,10,u Su S u Sx uSu Sx,10,1,77.64
Thorugh which that thinges liven alle and be,Thorugh which that thinges liven alle and be,ux S u Su Su Sx u S,10,u S u Su Su Sx u S,10,1,72.28
"Comeveden, and amorous him made",Comeveden and amorous him made,uSuS u SuS u Sx,10,uSuS u SuS u Sx,10,1,85.32
"On mortal thing, and as yow list, ay ye",On mortal thing and as yow list ay ye,u Su S u S u S u S,10,u Su S u S u S u S,10,1,66.49
Yeve him in love ese or adversitee;,Yeve him in love ese or adversitee,ux S u Sx ux S uSuS,10,ux S u Sx ux S uSuS,10,1,52.99
And in a thousand formes doun him sente,And in a thousand formes doun him sente,u S u Su Su S u Sx,10,u S u Su Su S u Sx,10,1,80.76
"For love in erthe, and whom yow liste, he hente.",For love in erthe and whom yow liste he hente,u Sx u Sx u S u Sx u Sx,10,u Sx u Sx u S u Sx u Sx,10,1,77.04
Ye fierse Mars apeisen of his ire,Ye fierse Mars apeisen of his ire,u Sxu S uSu S u Sx,10,u Sux S uSu S u Sx,10,1,82.10
"And, as yow list, ye maken hertes digne.",And as yow list ye maken hertes digne,u S u S u Su Su Sx,10,u S u S u Su Su Sx,10,1,70.53
"Algates, hem that ye wol sette afire",Algates hem that ye wol sette afire,uSu S u S u Sx uSx,10,uSu S u S u Sx uSx,10,1,70.61
"They dreden shame, and vices they resigne;",They dreden shame and vices they resigne,u Su Sx u Su S uSx,10,u Su Sx u Su S uSx,10,1,77.92
"Ye do hem corteis be, fresshe and benigne",Ye do hem corteis be fresshe and benigne,u S u Su S ux S uSx,10,u S u Su S ux S uSx,10,1,54.16
"And hie or lowe, after a wight entendeth;",And hie or lowe after a wight entendeth,u S u Sx uS u S uSu,11,u S u Sx uS u S uSx,10,0,70.41
"The joyes that he hath, your might him sendeth.",The joyes that he hath your might him sendeth,u Su S u S u S u Su,11,u Su S u S u S u Sx,10,0,65.45
Ye holden regne and hous in unitee;,Ye holden regne and hous in unitee,u Su Sx u S u SuS,10,u Su Sx u S u SuS,10,1,87.50
Ye soothfast cause of frendship been also;,Ye soothfast cause of frendship been also,u Su Sx u Su S uS,10,u Su Sx u Su S uS,10,1,83.05
Ye knowe al thilke covered qualitee,Ye knowe al thilke covered qualitee,u Sx u Su Sux SuS,10,u Sx u Su Sux SuS,10,1,62.05
Of thinges which that folk on wondren so,Of thinges which that folk on wondren so,u Su S u S u Su S,10,u Su S u S u Su S,10,1,73.74
Whan they can not construe how it may jo,Whan they can not construe how it may jo,u S u S uS u S u S,10,u S u S uS u S u S,10,1,60.30
"She loveth him, or why he loveth here",She loveth him or why he loveth here,u Su S u S u Su Sx,10,u Su S u S u Su Sx,10,1,72.02
"As why this fish, and nought that, comth to were.",As why this fish and nought that comth to were,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,67.93
Ye folk a lawe han set in universe,Ye folk a lawe han set in universe,u S u Sx u S u SuSx,10,u S u Sx u S u SuSx,10,1,74.37
And this knowe I by hem that loveres be,And this knowe I by hem that loveres be,u S ux S u S u Sux S,10,u S ux S u S u Sux S,10,1,55.78
That whoso striveth with yow hath the werse:,That whoso striveth with yow hath the werse,u Su Su S u S u Sx,10,u Su Su S u S u Sx,10,1,69.43
"Now, lady bright, for thy benignitee",Now lady bright for thy benignitee,u Su S u S uSuS,10,u Su S u S uSuS,10,1,80.80
At reverence of hem that serven thee,At reverence of hem that serven thee,u SuSx u S u Su S,10,u SuSx u S u Su S,10,1,74.15
"Whos clerk I am, so techeth me devise",Whos clerk I am so techeth me devise,u S u S u Su S uSx,10,u S u S u Su S uSx,10,1,82.74
Som joye of that is felt in thy servise.,Som joye of that is felt in thy servise,u S u S u S u S uSx,10,u S u S u S u S uSx,10,1,63.29
Ye in my naked herte sentement,Ye in my naked herte sentement,u S u Su Su SuS,10,u S u Su Su SuS,10,1,72.46
"Inhelde, and do me shewe of thy swetnesse.—",Inhelde and do me shewe of thy swetnesse,uSx u S u Sx u S uSx,10,uSx u S u Sx u S uSx,10,1,74.75
"Caliope, thy vois be now present",Caliope thy vois be now present,uSuS u S u S uS,10,SuSx u S u S uS,9,0,55.08
For now is nede; sestow not my destresse,For now is nede sestow not my destresse,u S u Sx uS u S uSx,10,u S u Sx uS u S uSx,10,1,62.77
How I mot telle anonright the gladnesse,How I mot telle anonright the gladnesse,u S u Sx uSu S uSx,10,u S u Sx uSu S uSx,10,1,71.16
"Of Troilus, to Venus heryinge?",Of Troilus to Venus heryinge,u SuS u Su SuSx,10,u SuS u Su SuSx,10,1,90.04
"To which gladnes, who nede hath, God him bringe!",To which gladnes who nede hath God him bringe,u S uS u Sx u S u Sx,10,u S uS u Sx u S u Sx,10,1,76.20
Lay al this mene while Troilus,Lay al this mene while Troilus,u S u Su Su SuS,10,u S u Su Su SuS,10,1,49.55
Recordinge his lessoun in this manere,Recordinge his lessoun in this manere,uSux S uS u S uSx,10,uSux S uS u S uSx,10,1,59.01
"“Ma fey!” thought he, “Thus wole I seye and thus;",Ma fey thought he Thus wole I seye and thus,u S u S u Sx u S u S,10,u S u S u Sx u S u S,10,1,64.46
Thus wole I pleine unto my lady dere;,Thus wole I pleine unto my lady dere,u Sx u Sx uS u Su Sx,10,u Sx u Sx uS u Su Sx,10,1,72.85
"That word is good, and this shal be my chere;",That word is good and this shal be my chere,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,66.73
This nil I not foryeten in no wise.”,This nil I not foryeten in no wise,u S u S uSu S u Sx,10,u S u S uSux S u Sx,10,1,67.81
God leve him werken as he gan devise.,God leve him werken as he gan devise,u Sx u Su S u S uSx,10,u Sx u Su S u S uSx,10,1,63.61
"And Lord, so that his herte gan to quappe",And Lord so that his herte gan to quappe,u S u S u Su S u Sx,10,u S u S u Su S u Sx,10,1,72.16
"Heringe hir come, and shorte for to sike!",Heringe hir come and shorte for to sike,uSx u Sx u Su S u Sx,10,uSx u Sx u Su S u Sx,10,1,80.95
"And Pandarus, that ladde hir by the lappe",And Pandarus that ladde hir by the lappe,u SuS u Sx u S u Sx,10,u SuS u Sx u S u Sx,10,1,80.69
"Com ner, and gan in at the curtin pike",Com ner and gan in at the curtin pike,u S u S u S u Su Sx,10,u S u S u S u Su Sx,10,1,80.18
"And seide, “God do bote on alle sike!",And seide God do bote on alle sike,u Su S u Sx u Su Sx,10,u Su S u Sx u Su Sx,10,1,65.55
"See, who is here yow comen to visite;",See who is here yow comen to visite,u S u Sx u Su S uSx,10,u S u Sx u Su S uSx,10,1,57.82
"Lo, here is she that is your deeth to wite.”",Lo here is she that is your deeth to wite,u Sx u S u S u S u Sx,10,u Sx u S u S u S u Sx,10,1,76.68
Therwith it semed as he wepte almost;,Therwith it semed as he wepte almost,uS u Su S u Sx uS,10,uS u Su S u Sx uS,10,1,67.20
"“A ha,” quod Troilus so rewfully",A ha quod Troilus so rewfully,u S u SuS u SuS,10,u S u SuS u SuS,10,1,90.07
"“Wher me be wo, O mighty God, thou wost!",Wher me be wo O mighty God thou wost,u S u S u Su S u S,10,u S u S u Su S u S,10,1,70.92
Who is al there? I see nought trewely.”,Who is al there I see nought trewely,u S u Sx u S u SuS,10,u S u Sx u S u SuS,10,1,65.83
"“Sir,” quod Criseyde, “it is Pandare and I.”",Sir quod Criseyde it is Pandare and I,u S uSx u S uSx u S,10,u S uSx u S uSx u S,10,1,60.80
"“Ye, swete herte? allas, I may nought rise",Ye swete herte allas I may nought rise,u Su Sx uS u S u Sx,10,u Su Sx uS u S u Sx,10,1,70.98
"To knele, and do yow honour in som wise.”",To knele and do yow honour in som wise,u Sx u S u Su S u Sx,10,u Sx u S u Su S u Sx,10,1,65.30
"And dressede him upward, and she right tho",And dressede him upward and she right tho,u Sux S uS u S u S,10,u Sux S uS u S u S,10,1,67.36
Gan bothe here hondes softe upon him leye,Gan bothe here hondes softe upon him leye,u Sx ux Su Sx uS u S,10,u Sx ux Su Sx uS u S,10,1,69.37
"“O, for the love of God, do ye not so",O for the love of God do ye not so,u S u Sx u S u S u S,10,u S u Sx u S u S u S,10,1,62.39
"To me,” quod she, “ey! What is this to seye?",To me quod she ey What is this to seye,u S u S u S u S u S,10,u S u S u S u S u S,10,1,67.71
"Sir, come am I to yow for causes tweie;",Sir come am I to yow for causes tweie,u Sx u S u S u Su S,10,u Sx u S u S u Su S,10,1,71.46
"First, yow to thonke, and of your lordshipe eke",First yow to thonke and of your lordshipe eke,u S u Sx u S u Sux Sx,10,u S u Sx u S u Sux Sx,10,1,72.66
Continuaunce I wolde yow biseke.”,Continuaunce I wolde yow biseke,uSuS u Su S uSx,10,SuSx u Su S uSx,9,0,52.28
"This Troilus, that herde his lady preye",This Troilus that herde his lady preye,u SuS u Sx u Su S,10,u SuS u Sx u Su S,10,1,81.91
"Of lordship him, wex neither quik ne deed",Of lordship him wex neither quik ne deed,u Su S u Su S u S,10,u Su S u Su S u S,10,1,81.07
Ne mighte o word for shame to it seye,Ne mighte o word for shame to it seye,u Sx u S u Su S u S,10,u Sx u S u Su S u S,10,1,63.02
Although men sholde smiten of his heed.,Although men sholde smiten of his heed,uS u Su Su S u S,10,uS u Su Su S u S,10,1,68.47
"But Lord, so he wex sodeinliche reed",But Lord so he wex sodeinliche reed,u S u S u SuSu S,10,u S u S u SuSu S,10,1,75.23
"And sire, his lesson, that he wende conne",And sire his lesson that he wende conne,u Sx u Su S u Su Sx,10,u Sx u Su S u Su Sx,10,1,63.53
"To preyen hir, is thurgh his wit yronne.",To preyen hir is thurgh his wit yronne,u Su S u S u S uSx,10,u Su S u S u S uSx,10,1,71.56
Criseyde al this aspyede wel ynough,Criseyde al this aspyede wel ynough,uSx u S uSux S uS,10,uSx u S uSux S uS,10,1,69.82
"For she was wis, and lovede him never the lasse",For she was wis and lovede him never the lasse,u S u S u Sxx u Sx u Sx,10,u S u S u Sxx u S u Sx,10,1,68.65
"Al nere he malapert, or made it tough",Al nere he malapert or made it tough,u Sx u SuS u Sx u S,10,u Sx u SuS u Sx u S,10,1,78.79
"Or was to bold, to singe a fool a masse.",Or was to bold to singe a fool a masse,u S u S u Sx u S u Sx,10,u S u S u Sx u S u Sx,10,1,77.70
But whan his shame gan somwhat to passe,But whan his shame gan somwhat to passe,u S u Su S uS u Sx,10,u S u Su S uS u Sx,10,1,67.92
"His resons, as I may my rimes holde",His resons as I may my rimes holde,u Su S u S u Su Sx,10,u Su S u S u Su Sx,10,1,78.51
"I yow wol telle, as techen bokes olde.",I yow wol telle as techen bokes olde,u S u Sx u Su Su Sx,10,u S u Sx u Su Su Sx,10,1,62.03
"In chaunged vois, right for his verrey drede",In chaunged vois right for his verrey drede,u Su S u S u Su Sx,10,u Su S u S u Su Sx,10,1,80.54
"Which vois eek quook, and therto his manere",Which vois eek quook and therto his manere,u S u S u Su S uSx,10,u S u S u Su S uSx,10,1,61.89
"Goodly abaist, and now his hewes rede",Goodly abaist and now his hewes rede,uS uS u S u Su Sx,10,uS uS u S u Su Sx,10,1,73.56
"Now pale, unto Criseyde, his lady dere",Now pale unto Criseyde his lady dere,u Sx uS uSx u Su Sx,10,u Sx uS uSx u Su Sx,10,1,83.45
With look doun cast and humble yolden chere,With look doun cast and humble yolden chere,u S u S u Su Su Sx,10,u S u S u Su Su Sx,10,1,82.07
"Lo, the alderfirste word that him asterte",Lo the alderfirste word that him asterte,u S uSux S u S uSx,10,u S uSux S u S uSx,10,1,69.82
"Was, twyes, “Mercy, mercy, swete herte!”",Was twyes Mercy mercy swete herte,u Su Su Su Su Sx,10,u Su Su Su Su Sx,10,1,73.02
"And stinte a whil, and whan he mighte out bringe",And stinte a whil and whan he mighte out bringe,u Sx u S u S u Sx u Sx,10,u Sx u S u S u Sx u Sx,10,1,65.09
"The nexte word was, “God wot, for I have",The nexte word was God wot for I have,u Su S u S u S u Sx,10,u Su S u S u S u Sx,10,1,71.81
As feithfully as I have had konninge,As feithfully as I have had konninge,u SuS u S ux S uSx,10,u SuS u S ux S uSx,10,1,63.78
"Ben youres, also God my sowle save;",Ben youres also God my sowle save,u Su Su S u Su Sx,10,u Su Su S u Su Sx,10,1,79.71
"And shal, til that I, woful wight, be grave.",And shal til that I woful wight be grave,u S u S u Su S u Sx,10,u S u S u Su S u Sx,10,1,74.76
And though I dar ne can unto yow pleine,And though I dar ne can unto yow pleine,u S u S u S uS u Sx,10,u S u S u S uS u Sx,10,1,77.65
"Ywis, I suffre nought the lasse peine.",Ywis I suffre nought the lasse peine,uS u Su S u Su Sx,10,uS u Su S u Su Sx,10,1,79.95
"Thus muche as now, O wommanliche wif",Thus muche as now O wommanliche wif,u Sx u S u SuSu S,10,u Sx u S u SuSu S,10,1,64.38
"I may outbringe, and if this yow displese",I may outbringe and if this yow displese,u S uSx u S u S uSx,10,u S uSx u S u S uSx,10,1,71.71
That shal I wreke upon min owne lif,That shal I wreke upon min owne lif,u S u Sx uS u Su S,10,u S u Sx uS u Su S,10,1,77.57
"Right sone, I trowe, and doon your herte an ese",Right sone I trowe and doon your herte an ese,u Sx u Sx u S u Sx u Sx,10,u Sx u Sx u S u Sx u Sx,10,1,76.07
If with my deeth your herte I may apese.,If with my deeth your herte I may apese,u S u S u Sx u S uSx,10,u S u S u Sx u S uSx,10,1,73.14
But sin that ye han herd me somwhat seye,But sin that ye han herd me somwhat seye,u S u S u S u Su S,10,u S u S u S u Su S,10,1,69.95
Now recche I never how sone that I deye.”,Now recche I never how sone that I deye,u Sx u Su S ux S u S,10,u Sx u S u Su S u S,10,0,56.58
Therwith his manly sorwe to biholde,Therwith his manly sorwe to biholde,uS u Su Su S uSx,10,uS u Su Su S uSx,10,1,79.53
It mighte han maad an herte of stoon to rewe;,It mighte han maad an herte of stoon to rewe,u Sx u S u Sx u S u Sx,10,u Sx u S u Sx u S u Sx,10,1,74.52
And Pandare weep as he to watre wolde,And Pandare weep as he to watre wolde,u Sux S u S u Su Sx,10,u Sux S u S u Su Sx,10,1,61.58
And poked ever his nece newe and newe,And poked ever his nece newe and newe,u Su Su S ux Sx u Sx,10,u Su S u Su Sx u Sx,10,0,69.79
"And seide, “Wo bigon ben hertes trewe!",And seide Wo bigon ben hertes trewe,u Su S uS u Su Sx,10,u Su S uS u Su Sx,10,1,74.39
"For love of God, make of this thing an ende",For love of God make of this thing an ende,u Sx u S ux S u S u Sx,10,u Sx u S ux S u S u Sx,10,1,70.34
"Or slee us bothe at ones, er that ye wende.”",Or slee us bothe at ones er that ye wende,u S u Sx u Sx u S u Sx,10,u S u Sx u Sx u S u Sx,10,1,58.67
"“I? what?” quod she, “By God and by my trouthe",I what quod she By God and by my trouthe,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,68.64
I noot nought what ye wilne that I seye.”,I noot nought what ye wilne that I seye,u S u S u Su S u S,10,u S u S u Su S u S,10,1,68.33
"“I? what?” quod he, “that ye han on him routhe",I what quod he that ye han on him routhe,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,60.56
"For Goddes love, and doth him nought to deie.”",For Goddes love and doth him nought to deie,u Su Sx u S u S u S,10,u Su Sx u S u S u S,10,1,82.60
"“Now thanne thus,” quod she, “I wolde him preye",Now thanne thus quod she I wolde him preye,u Su S u S u Sx u S,10,u Su S u S u Sx u S,10,1,63.09
To telle me the fin of his entente;,To telle me the fin of his entente,u Su S u S u S uSx,10,u Su S u S u S uSx,10,1,60.76
Yet wiste I never wel what that he mente.”,Yet wiste I never wel what that he mente,u Sx u Su S u S u Sx,10,u Sx u Su S u S u Sx,10,1,56.65
"“What that I mene, O swete herte dere?”",What that I mene O swete herte dere,u S u Sx u Su Su Sx,10,u S u Sx u Su Su Sx,10,1,64.16
"Quod Troilus, “O goodly fresshe free!",Quod Troilus O goodly fresshe free,u SuS u Su Su S,10,u SuS u Su Su S,10,1,84.57
"That, with the stremes of your eyen clere",That with the stremes of your eyen clere,u S u Su S u Su Sx,10,u S u Su S u Su Sx,10,1,67.26
Ye wolde somtime freendly on me see,Ye wolde somtime freendly on me see,u Su Sux Su S u S,10,u Su Sux Su S u S,10,1,61.22
And thanne agreën that I may ben he,And thanne agren that I may ben he,u Sx uSu S u S u S,10,u Su Su S u S u S,10,0,47.29
Withoute braunche of vice in any wise,Withoute braunche of vice in any wise,uSu Sx u Sx u Su Sx,10,uSu Sx u Sx u Su Sx,10,1,81.88
In trouthe alwey to doon yow my servise,In trouthe alwey to doon yow my servise,u Sx uS u S u S uSx,10,u Sx uS u S u S uSx,10,1,68.41
As to my lady right and chief resort,As to my lady right and chief resort,u S u Su S u S uS,10,u S u Su S u S uS,10,1,74.58
With al my wit and al my diligence,With al my wit and al my diligence,u S u S u S u SuSx,10,u S u S u S u SuSx,10,1,82.10
"And I to han, right as yow list, comfort",And I to han right as yow list comfort,u S u S u S u S uS,10,u S u S u S u S uS,10,1,63.86
"Under your yerde, egal to min offence",Under your yerde egal to min offence,uS u Sx uS u S uSx,10,uS u Sx uS u S uSx,10,1,82.61
"As deeth, if that I breke your defence;",As deeth if that I breke your defence,u S u S u Su S uSx,10,u S u S u Su S uSx,10,1,62.18
And that ye deigne me so muche honoure,And that ye deigne me so muche honoure,u S u Su S u Sx uSx,10,u S u Su S u Sx uSx,10,1,72.94
Me to comaunden ought in any houre.,Me to comaunden ought in any houre,u S uSu S u Su Sx,10,u S uSu S u Su Sx,10,1,68.47
And I to ben your verray humble trewe,And I to ben your verray humble trewe,u S u S u Su Su Sx,10,u S u S u Su Su Sx,10,1,74.03
"Secret, and in my paines pacient",Secret and in my paines pacient,uS u S u Su SuS,10,uS u S u Su SuS,10,1,73.23
And evermo desire freshly newe,And evermo desire freshly newe,u SuS uSu Su Sx,10,u SuS uSu Su Sx,10,1,80.99
"To serve, and been ylike ay diligent",To serve and been ylike ay diligent,u Sx u S uSx u SuS,10,u Sx u S uSx u SuS,10,1,90.80
"And, with good herte, al holly your talent",And with good herte al holly your talent,u S u Sx u Su S uS,10,u S u Sx u Su S uS,10,1,56.92
"Receiven wel, how sore that me smerte",Receiven wel how sore that me smerte,uSu S u Su S u Sx,10,uSu S u Su S u Sx,10,1,64.98
"Lo, this mene I, min owene swete herte.”",Lo this mene I min owene swete herte,u S ux S u Sux Su Sx,10,u S ux S u Sux Su Sx,10,1,59.09
"Quod Pandarus, “Lo, here an hard request",Quod Pandarus Lo here an hard request,u SuS u Sx u S uS,10,u SuS u Sx u S uS,10,1,95.31
"And resonable, a lady for to werne!",And resonable a lady for to werne,u SuSx u Su S u Sx,10,u SuSx u Su S u Sx,10,1,85.28
"Now, nece min, by natal Joves fest",Now nece min by natal Joves fest,u Su S u Su Su S,10,u Su S u Su Su S,10,1,74.88
"Were I a god, ye sholde sterve as yerne",Were I a god ye sholde sterve as yerne,ux S u S u Su Sx u Sx,10,ux S u S u Su Sx u Sx,10,1,65.46
"That heren wel, this man wol nothing yerne",That heren wel this man wol nothing yerne,u Su S u S u Su Sx,10,u Su S u S u Su Sx,10,1,75.27
"But your honour, and seen him almost sterve",But your honour and seen him almost sterve,u S uS u S u Su Sx,10,u S uS u S u Su Sx,10,1,61.80
And been so looth to suffren him yow serve.”,And been so looth to suffren him yow serve,u S u S u Su S u Sx,10,u S u S u Su S u Sx,10,1,80.73
With that she gan hir eyen on him caste,With that she gan hir eyen on him caste,u S u S u Su S u Sx,10,u S u S u Su S u Sx,10,1,58.85
"Ful esily, and ful debonairly",Ful esily and ful debonairly,u SuS u S uSuS,10,u SuS u S uSuS,10,1,77.65
"Avising hir, and hyed not to faste",Avising hir and hyed not to faste,uSu S u Su S u Sx,10,uSu S u Su S u Sx,10,1,74.83
"With never a word, but seide him softely",With never a word but seide him softely,u S u S u Sx u SuS,10,u S u S u Sx u SuS,10,1,71.00
"“Min honour sauf, I wol wel trewely",Min honour sauf I wol wel trewely,u Su S u S u SuS,10,u Su S u S u SuS,10,1,68.75
And in swich forme as he can now devise,And in swich forme as he can now devise,u S u Sx u S u S uSx,10,u S u Sx u S u S uSx,10,1,58.93
Receiven him fully to my servise,Receiven him fully to my servise,uSu S uS u S uSx,10,uSu S uS u S uSx,10,1,72.45
"“Biseching him, for Goddes love, that he",Biseching him for Goddes love that he,uSu S u Su Sx u S,10,uSu S u Su Sx u S,10,1,71.05
"Wolde, in honour of trouthe and gentilesse",Wolde in honour of trouthe and gentilesse,ux S uS u Sx u SuSx,10,ux S uS u Sx u SuSx,10,1,61.34
"As I wel mene, eek mene wel to me",As I wel mene eek mene wel to me,u S u Sx u Su S u S,10,u S u Sx u Su S u S,10,1,51.91
"And min honour, with wit and besinesse",And min honour with wit and besinesse,u S uS u S u SuSx,10,u S uS u S u SuSx,10,1,73.51
Ay kepe; and if I may don him gladnesse,Ay kepe and if I may don him gladnesse,u Sx u S u S u S uSx,10,u Sx u S u S u S uSx,10,1,69.44
"From hennesforth, ywis, I nil not feine:",From hennesforth ywis I nil not feine,u SuS uS u S u Sx,10,u SuS uS u S u Sx,10,1,73.64
"Now beeth al hool, no lenger ye ne pleine.",Now beeth al hool no lenger ye ne pleine,u S u S u Su S u Sx,10,u S u S u Su S u Sx,10,1,76.98
"“But nathelees, this warne I yow,” quod she",But nathelees this warne I yow quod she,u SuS u Sx u S u S,10,u SuS u Sx u S u S,10,1,75.38
"“A kinges sone although ye be, ywis",A kinges sone although ye be ywis,u Su Sx uS u S uS,10,u Su Sx uS u S uS,10,1,82.94
Ye shul namore han soverainetee,Ye shul namore han soverainetee,u S uSx u SuSuS,10,u S uSx u SuSuS,10,1,80.51
"Of me in love, than right in that cas is;",Of me in love than right in that cas is,u S u Sx u S u S u S,10,u S u Sx u S u S u S,10,1,53.81
"Ny nil forbere, if that ye doon amis",Ny nil forbere if that ye doon amis,u S uSx u S u S uS,10,u S uSx u S u S uS,10,1,71.63
To wrathen yow; and whil that ye me serve,To wrathen yow and whil that ye me serve,u Su S u S u S u Sx,10,u Su S u S u S u Sx,10,1,67.32
Chericen yow right after ye deserve.,Chericen yow right after ye deserve,uSu S u Su S uSx,10,uSu S u Su S uSx,10,1,69.67
"“And shortly, derë herte and al my knight",And shortly der herte and al my knight,S uS u Sx u S u S,9,S uS u Sx u S u S,9,1,65.53
"Beth glad, and draweth yow to lustinesse",Beth glad and draweth yow to lustinesse,u S u Su S u SuSx,10,u S u Su S u SuSx,10,1,80.82
"And I shal trewely, with al my might",And I shal trewely with al my might,u S u SuS u S u S,10,u S u SuS u S u S,10,1,70.73
Your bittre tornen al into swetnesse;,Your bittre tornen al into swetnesse,u Su Su S uS uSx,10,u Su Su S uS uSx,10,1,88.05
If I be she that may yow do gladnesse,If I be she that may yow do gladnesse,u S u S u S u S uSx,10,u S u S u S u S uSx,10,1,57.33
For every wo ye shal recovere a blisse”;,For every wo ye shal recovere a blisse,u Sxu S u S uSxx u Sx,10,u Su S u S uSxx u Sx,10,1,78.92
"And him in armes took, and gan him kisse.",And him in armes took and gan him kisse,u S u Su S u S u Sx,10,u S u Su S u S u Sx,10,1,76.24
"Fil Pandarus on knees, and up his yën",Fil Pandarus on knees and up his yn,u SuS u S u S u S,10,u SuS u S u S u S,10,1,81.99
"To heven threw, and held his hondes hie",To heven threw and held his hondes hie,u Su S u S u Su S,10,u Su S u S u Su S,10,1,88.44
"“Immortal god!” quod he, “that mayst nought dyen",Immortal god quod he that mayst nought dyen,uSu S u S u S u Sx,10,uSu S u S u S u Su,11,0,52.85
"Cupide I mene, of this mayst glorifie;",Cupide I mene of this mayst glorifie,uSx u Sx u S u SuS,10,uSx u Sx u S u SuS,10,1,76.11
"And Venus, thou mayst make melodie;",And Venus thou mayst make melodie,u Su S u Su SuS,10,u Su S u Su SuS,10,1,72.49
"Withouten hond, me semeth that in towne",Withouten hond me semeth that in towne,uSu S u Su S u Sx,10,uSu S u Su S u Sx,10,1,72.69
"For this merveile, I here ech belle sowne.",For this merveile I here ech belle sowne,u S uSx u Sx u Su Sx,10,u S uSx u Sx u Su Sx,10,1,65.13
“But ho! no more as now of this matere,But ho no more as now of this matere,u S u Sx u S u S uSx,10,u S u Sx u S u S uSx,10,1,68.90
Forwhy this folk wol comen up anoon,Forwhy this folk wol comen up anoon,uS u S u Su S uS,10,uS u S u Su S uS,10,1,84.62
"That han the lettre red; lo, I hem here.",That han the lettre red lo I hem here,u S u Su S u S u Sx,10,u S u Su S u S u Sx,10,1,70.71
"But I conjure thee, Criseyde, and oon",But I conjure thee Criseyde and oon,u S uSu S uSx u S,10,u S uSu S uSx u S,10,1,82.38
"And two, thou Troilus, whan thou mayst goon",And two thou Troilus whan thou mayst goon,u S u SuS u S u S,10,u S u SuS u S u S,10,1,73.75
That at min hous ye been at my warninge,That at min hous ye been at my warninge,u S u S u S u S uSx,10,u S u S u S u S uSx,10,1,66.35
For I ful wel shal shape your cominge;,For I ful wel shal shape your cominge,u S u S u Su S uSx,10,u S u S u Su S uSx,10,1,57.44
“And eseth ther youre hertes right ynough;,And eseth ther youre hertes right ynough,u Su S ux Su S uS,10,u Su S ux Su S uS,10,1,69.05
And lat see which of yow shal bere the belle,And lat see which of yow shal bere the belle,u S u S u S u Sx u Sx,10,u S u S u S u Sx u Sx,10,1,67.71
To speke of love aright!” therwith he lough,To speke of love aright therwith he lough,u Sx u Sx uS uS u S,10,u Sx u Sx uS uS u S,10,1,82.24
“For ther have ye a laiser for to telle.”,For ther have ye a laiser for to telle,u S ux S u Su S u Sx,10,u S ux S u Su S u Sx,10,1,58.37
"Quod Troilus, “How longe shal I dwelle",Quod Troilus How longe shal I dwelle,u SuS u Su S u Sx,10,u SuS u Su S u Sx,10,1,78.51
"Er this be doon?” Quod he, “Whan thou mayst rise",Er this be doon Quod he Whan thou mayst rise,u S u S u S u S u Sx,10,u S u S u S u S u Sx,10,1,65.70
This thing shal be right as I yow devise.”,This thing shal be right as I yow devise,u S u S u S u S uSx,10,u S u S u S u S uSx,10,1,60.73
With that Eleine and also Deiphebus,With that Eleine and also Deiphebus,u S uSx u Su SuS,10,u S uSx u Su SuS,10,1,64.60
"Tho comen upward, right at the steires ende;",Tho comen upward right at the steires ende,u Su Su S u S ux Sx,10,u Su Su S u S ux Sx,10,1,60.00
"And Lord, so than gan gronen Troilus",And Lord so than gan gronen Troilus,u S u S u Su SuS,10,u S u S u Su SuS,10,1,74.34
His brother and his suster for to blende.,His brother and his suster for to blende,u Su S u Su S u Sx,10,u Su S u Su S u Sx,10,1,74.07
"Quod Pandarus, “It time is that we wende;",Quod Pandarus It time is that we wende,u SuS u Sx u S u Sx,10,u SuS u Sx u S u Sx,10,1,70.60
"Tak, nece min, your leve at alle three",Tak nece min your leve at alle three,u Su S u Sx u Su S,10,u Su S u Sx u Su S,10,1,68.56
"And lat hem speke, and cometh forth with me.”",And lat hem speke and cometh forth with me,u S u Sx u Su S u S,10,u S u Sx u Su S u S,10,1,64.53
